naslov,cena
Zavržena mucka išče dom,0
Oddam mačke,0
Britanski mucki- mešani,70
Britanke,200
Maine coon,150
Guliver,0
Levjesrčna mačka,15
mucka podarim,0
Podarim mlado muco,0
Mladički pasme SOMALI (dolgodlaka abesinka),700
ODDAJA MLADIH MUCKOV,0
Trije mladi mucki iščejo dom,0
Mali mucek Popi,80
MLADI MUCKI,100
Pezijska zlatna mucke,600
mladi muci nudimo zelo prijazen dom,0
siamski muc,1
maine coon,200
BRITANKA - MLADIČKI,410
Čudovita Taja &amp; Medi (pomagamo pri oddaji),
Simpatična Lubica &amp; Miki,0
Mucka Žuža,0
Muc Gušti,0
Urška,0
